ID,GitHub Issue,user or dev,# of Bug Report S2Rs,# of S2Rs that Lead to Multiple GUI actions,# of gui actions
2,https://github.com/zwieback/FamilyFinance/issues/1,USER,6,0,6
7,https://github.com/vbier/habpanelviewer/issues/25,USER,2,0,5
8,https://github.com/koelleChristian/trickytripper/issues/42,USER,3,1,11
10,https://github.com/zhanghai/MaterialFiles/issues/184,USER,5,2,10
11,https://github.com/gauravjot/android-noad-music-player/issues/1,USER,4,0,2
18,https://github.com/citiususc/calendula/issues/134,USER,2,1,19
19,https://github.com/streetcomplete/StreetComplete/issues/1093,USER,3,1,5
21,https://github.com/netmackan/ATimeTracker/issues/121,USER,3,1,8
22,https://github.com/netmackan/ATimeTracker/issues/124,USER,3,1,11
23,https://github.com/SecUSo/privacy-friendly-weather/issues/61,USER,4,0,4
27,https://github.com/fossasia/phimpme-android/issues/1837,USER,4,0,4
35,https://github.com/ccrama/Slide/issues/2773,USER,4,2,21
43,https://github.com/federicoiosue/Omni-Notes/issues/592,USER,2,1,31
44,https://github.com/federicoiosue/Omni-Notes/issues/634,USER,3,2,18
45,https://github.com/federicoiosue/Omni-Notes/issues/764,USER,7,0,27
50,https://github.com/asuc-octo/berkeley-mobile-android/issues/82,USER,1,0,1
51,https://github.com/alexstyl/Memento-Calendar/issues/168,USER,3,2,10
53,https://github.com/gsantner/markor/issues/1020,USER,6,1,15
54,https://github.com/gsantner/markor/issues/331,USER,6,1,10
55,https://github.com/PhenoApps/Field-Book/issues/131,USER,3,3,26
56,https://github.com/PhenoApps/Field-Book/issues/137,USER,4,3,18
62,https://github.com/Swati4star/Images-to-PDF/issues/85,USER,5,4,16
71,https://github.com/Neamar/KISS/issues/1481,USER,5,0,6
73,https://github.com/AntennaPod/AntennaPod/issues/2992,USER,3,1,9
76,https://web.archive.org/web/20200921050834/https://github.com/trebleshot/android/issues/79,USER,3,0,6
77,https://github.com/CypherpunkArmory/UserLAnd/issues/753,USER,3,0,6
84,https://github.com/ultrasonic/ultrasonic/issues/187,USER,8,0,8
87,https://github.com/ultrasonic/ultrasonic/issues/203,USER,8,0,8
89,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/164,USER,8,0,8
91,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/191,USER,2,0,3
92,https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer/issues/222,USER,4,1,5
96,https://github.com/barbeau/gpstest/issues/404,USER,4,1,13
97,https://github.com/osmdroid/osmdroid/issues/1030,USER,7,2,10
101,https://github.com/osmdroid/osmdroid/issues/999,USER,7,2,10
106,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/139,USER,7,2,10
107,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/149,USER,7,2,10
110,https://github.com/AdrienPoupa/VinylMusicPlayer/issues/311,USER,4,0,8
117,https://github.com/openfoodfacts/openfoodfacts-androidapp/issues/2087,USER,4,0,8
121,https://github.com/Automattic/simplenote-android/issues/1046,USER,4,0,8
122,https://github.com/Automattic/simplenote-android/issues/613,USER,4,0,8
123,https://github.com/Automattic/simplenote-android/issues/615,USER,4,0,8
125,https://github.com/Automattic/simplenote-android/issues/641,USER,2,1,5
128,https://github.com/andOTP/andOTP/issues/567,USER,3,1,6
129,https://github.com/andOTP/andOTP/issues/500,USER,3,1,6
130,https://github.com/andOTP/andOTP/issues/486,USER,3,1,6
132,https://github.com/commons-app/apps-android-commons/issues/1697,USER,3,1,4
135,https://github.com/commons-app/apps-android-commons/issues/2088,USER,3,1,4
137,https://github.com/kiwix/kiwix-android/issues/1414,USER,3,1,4
139,https://github.com/kiwix/kiwix-android/issues/555,USER,3,1,4
142,https://github.com/moezbhatti/qksms/issues/1124,USER,3,1,4
144,https://github.com/moezbhatti/qksms/issues/1155,USER,3,1,4
145,https://github.com/moezbhatti/qksms/issues/1179,USER,3,1,4
151,https://github.com/beemdevelopment/Aegis/issues/200,USER,2,1,10
152,https://github.com/beemdevelopment/Aegis/issues/287,USER,2,1,10
155,https://github.com/beemdevelopment/Aegis/issues/473,USER,2,1,10
157,https://github.com/ankidroid/Anki-Android/issues/5753,USER,2,1,10
158,https://github.com/ankidroid/Anki-Android/issues/5127,USER,12,0,15
159,https://github.com/ankidroid/Anki-Android/issues/6432,USER,3,3,16
160,https://github.com/ankidroid/Anki-Android/issues/6119,USER,2,1,20
162,https://github.com/k9mail/k-9/issues/3255,USER,2,1,20
164,https://github.com/k9mail/k-9/issues/3971,USER,4,2,16
165,https://github.com/k9mail/k-9/issues/4435,USER,4,2,16
168,https://github.com/cgeo/cgeo/issues/7369,USER,4,2,16
174,https://github.com/mozilla-mobile/focus-android/issues/2499,USER,2,0,14
178,https://github.com/SecUSo/privacy-friendly-pedometer/issues/28,USER,3,2,19
188,https://github.com/hidroh/materialistic/issues/565,USER,2,0,2
191,https://github.com/reloZid/android-anuto/issues/68,USER,4,1,22
192,https://github.com/gsantner/markor/issues/162,USER,4,1,22
193,https://github.com/alexstyl/Memento-Calendar/issues/7,USER,4,1,22
198,https://github.com/y20k/transistor/issues/149,USER,4,0,12
