ID,GitHub Issue,user or dev,"Type of additional info added (S2R, OB, context, EB)","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc)","how is the information presented? (Image, text, annotated image, video, etc)",time between added info and issue open,time between added info and bug label,time between added info and dev comment,time between added info and close,time between added info and commit,additional notes,comment number,"Type of additional info added (S2R, OB, context, EB).1","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc).1","how is the information presented? (Image, text, annotated image, video, etc).1",time between added info and issue open.1,time between added info and bug label.1,time between added info and dev comment.1,time between added info and close.1,time between added info and commit.1,additional notes.1,comment number.1,"Type of additional info added (S2R, OB, context, EB).2","value of additional info (number of S2Rs and whether they are setup steps or not, type of context, etc).2","how is the information presented? (Image, text, annotated image, video, etc).2",time between added info and issue open.2,time between added info and bug label.2,time between added info and dev comment.2,time between added info and close.2,time between added info and commit.2,additional notes.2,comment number.2,Unique Comments with Added Info
227,https://github.com/codinguser/gnucash-android/issues/723,USER,S2R,3 bug,text,132:34:47,121:43:39,121:43:50,-2161:13:45,,,10,,,,,,,,,,,,,,,,,,,,,1
228,https://github.com/codinguser/gnucash-android/issues/731,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
248,https://github.com/getodk/collect/issues/2958,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
250,https://github.com/moezbhatti/qksms/issues/612,USER,OB,app version,text,26:05:51,,1:57:03,-11852:51:45,,,2,,,,,,,,,,,,,,,,,,,,,1
253,https://github.com/mozilla-mobile/focus-android/issues/3932,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
256,https://github.com/codinguser/gnucash-android/issues/654,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
266,https://github.com/mozilla-mobile/focus-android/issues/3892,USER,context,app version,text,1339:44:17,1338:36:03,1308:04:36,-195:20:31,1292:56:25,,11,context,OS,text,1575:40:17,1574:32:03,1544:00:36,40:35:29,1528:52:25,,12,,,,,,,,,,,2
271,https://github.com/beemdevelopment/Aegis/issues/500,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
272,https://github.com/mozilla-mobile/focus-android/issues/3297,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
273,https://github.com/ankidroid/Anki-Android/issues/5688,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
274,https://github.com/mozilla-mobile/focus-android/issues/2730,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
275,https://github.com/beemdevelopment/Aegis/issues/415,USER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1002,https://github.com/alexstojda/soen390/issues/36,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1006,https://github.com/wikimedia/apps-android-wikipedia/issues/282,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1028,https://github.com/ankidroid/Anki-Android/issues/4502,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1031,https://github.com/ankidroid/Anki-Android/issues/4707,DEV,context,app version,text,0:11:00,0:11:00,,0:00:00,,,1,,,,,,,,,,,,,,,,,,,,,1
1033,https://github.com/ankidroid/Anki-Android/issues/4801,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1065,https://github.com/mozilla-mobile/focus-android/issues/3046,DEV,S2R,3 bug,text,55:32:00,55:32:00,-89:31:00,-602:23:00,-576:39:00,,2,,,,,,,,,,,,,,,,,,,,,1
1066,https://github.com/mozilla-mobile/focus-android/issues/3152,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1067,https://github.com/mozilla-mobile/focus-android/issues/3304,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1070,https://github.com/mozilla-mobile/focus-android/issues/2835,DEV,context,app version,text,2357:29:00,2357:29:00,2357:23:00,0:00:00,,,9,,,,,,,,,,,,,,,,,,,,,1
1073,https://github.com/mozilla-mobile/focus-android/issues/2879,DEV,context,device,text,0:40:00,-33:04:00,0:00:00,-1339:22:00,-1319:47:00,,1,,,,,,,,,,,,,,,,,,,,,1
1089,https://github.com/ChessCom/android-chessclock/issues/11,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1096,https://github.com/inaturalist/iNaturalistAndroid/issues/722,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1100,https://github.com/kiwix/kiwix-android/issues/424,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1101,https://github.com/kiwix/kiwix-android/issues/472,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1102,https://github.com/kiwix/kiwix-android/issues/540,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1106,https://github.com/kiwix/kiwix-android/issues/1165,DEV,context,Android version,text,2277:24:00,0:00:00,1461:56:00,-689:49:00,-681:14:00,,9,,,,,,,,,,,,,,,,,,,,,1
1130,https://github.com/AntennaPod/AntennaPod/issues/3084,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1133,https://github.com/AntennaPod/AntennaPod/issues/3245,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1136,https://github.com/Automattic/simplenote-android/issues/786,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1140,https://github.com/Automattic/simplenote-android/issues/1170,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1144,https://github.com/Gear61/Random-Name-Picker/issues/49,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1145,https://github.com/barbeau/gpstest/issues/436,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1146,https://github.com/barbeau/gpstest/issues/434,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1147,https://github.com/barbeau/gpstest/issues/119,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1148,https://github.com/barbeau/gpstest/issues/120,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1149,https://github.com/barbeau/gpstest/issues/330,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1150,https://github.com/barbeau/gpstest/issues/315,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1151,https://github.com/barbeau/gpstest/issues/127,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1152,https://github.com/barbeau/gpstest/issues/133,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1153,https://github.com/barbeau/gpstest/issues/152,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1160,https://github.com/moezbhatti/qksms/issues/482,DEV,context,app version,text,602:06:00,,0:00:00,-0:01:00,,,1,,,,,,,,,,,,,,,,,,,,,1
1197,https://github.com/Swati4star/Images-to-PDF/issues/154,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1198,https://github.com/Swati4star/Images-to-PDF/issues/158,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1199,https://github.com/Swati4star/Images-to-PDF/issues/218,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1201,https://github.com/Swati4star/Images-to-PDF/issues/346,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1202,https://github.com/Swati4star/Images-to-PDF/issues/384,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1205,https://github.com/Swati4star/Images-to-PDF/issues/602,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1206,https://github.com/Swati4star/Images-to-PDF/issues/510,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1207,https://github.com/andOTP/andOTP/issues/135,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1210,https://github.com/andOTP/andOTP/issues/356,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1212,https://github.com/andOTP/andOTP/issues/639,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1213,https://github.com/andOTP/andOTP/issues/638,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1214,https://github.com/andOTP/andOTP/issues/580,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1215,https://github.com/andOTP/andOTP/issues/569,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1216,https://github.com/ccrama/Slide/issues/2413,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1222,https://github.com/codinguser/gnucash-android/issues/617,DEV,OB,text,text,0:01:00,0:01:00,-120:54:00,-1310:15:00,-1300:59:00,,1,,,,,,,,,,,,,,,,,,,,,1
1223,https://github.com/codinguser/gnucash-android/issues/701,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1224,https://github.com/codinguser/gnucash-android/issues/620,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1225,https://github.com/codinguser/gnucash-android/issues/621,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1226,https://github.com/codinguser/gnucash-android/issues/663,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1227,https://github.com/codinguser/gnucash-android/issues/664,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1228,https://github.com/codinguser/gnucash-android/issues/699,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1299,https://github.com/PhenoApps/Field-Book/issues/146,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1300,https://github.com/PhenoApps/Field-Book/issues/145,DEV,context,"device, app version",text,80:09:00,80:09:00,0:00:00,-686:42:00,,,1,context,device,text,96:46:00,96:46:00,16:37:00,-670:05:00,,,3,context,app version,text,766:51:00,766:51:00,686:42:00,0:00:00,,,4,3
1310,https://github.com/alexstyl/Memento-Calendar/issues/43,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1313,https://github.com/beemdevelopment/Aegis/issues/96,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1315,https://github.com/beemdevelopment/Aegis/issues/471,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1316,https://github.com/beemdevelopment/Aegis/issues/468,DEV,context,app version,text,33:14:00,33:14:00,32:48:00,0:00:00,17:32:00,,4,,,,,,,,,,,,,,,,,,,,,1
1321,https://github.com/beemdevelopment/Aegis/issues/283,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1343,https://github.com/marco97pa/punti-burraco/issues/55,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1344,https://github.com/marco97pa/punti-burraco/issues/51,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1389,https://github.com/y20k/transistor/issues/63,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1397,https://github.com/fossasia/phimpme-android/issues/2324,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1398,https://github.com/fossasia/phimpme-android/issues/2362,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1399,https://github.com/fossasia/phimpme-android/issues/2416,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1401,https://github.com/fossasia/phimpme-android/issues/2175,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1402,https://github.com/fossasia/phimpme-android/issues/1039,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1403,https://github.com/fossasia/phimpme-android/issues/1046,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1404,https://github.com/fossasia/phimpme-android/issues/2523,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1405,https://github.com/fossasia/phimpme-android/issues/2318,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1406,https://github.com/fossasia/phimpme-android/issues/1858,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1425,https://github.com/brodeurlv/fastnfitness/issues/174,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1428,https://github.com/brodeurlv/fastnfitness/issues/160,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1430,https://github.com/brodeurlv/fastnfitness/issues/142,DEV,context,app version,text,32:37:00,0:26:00,0:00:00,-70:39:00,-62:52:00,,1,,,,,,,,,,,,,,,,,,,,,1
1441,https://github.com/cohenadair/anglers-log/issues/151,DEV,EB,3 bug,text,33272:52:00,33272:52:00,,33240:36:00,33264:00:00,,1,EB,1 bug,text,33296:52:00,33296:52:00,,33264:36:00,33288:00:00,,4,,,,,,,,,,,2
1445,https://github.com/cohenadair/anglers-log/issues/347,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1446,https://github.com/cohenadair/anglers-log/issues/43,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1447,https://github.com/cohenadair/anglers-log/issues/9,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1481,https://github.com/longdivision/hex/issues/4,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1495,https://github.com/pennlabs/penn-mobile-android/issues/385,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1498,https://github.com/pennlabs/penn-mobile-android/issues/410,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1499,https://github.com/pennlabs/penn-mobile-android/issues/441,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1562,https://github.com/lfuelling/lrkFM/issues/24,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1563,https://github.com/lfuelling/lrkFM/issues/26,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1566,https://github.com/lfuelling/lrkFM/issues/29,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1567,https://github.com/lfuelling/lrkFM/issues/34,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1568,https://github.com/lfuelling/lrkFM/issues/44,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
